행정구역구분명,행정구역명,총 인구수,인구소멸비율,시군구
구,경기도 성남시 중원구,256096,0.132,성남시중원구
구,경기도 수원시 권선구,332242,0.145,수원시권선구
구,경기도 수원시 영통구,297773,0.157,수원시영통구
구,경기도 수원시 장안구,291049,0.13,수원시장안구
구,경기도 수원시 팔달구,206721,0.137,수원시팔달구
시군,경기도 시흥시,399231,0.129,시흥시
구,경기도 안산시 단원구,332995,0.134,안산시단원구
구,경기도 안산시 상록구,381875,0.134,안산시상록구
시군,경기도 안성시,181712,0.114,안성시
구,경기도 안양시 동안구,358371,0.135,안양시동안구
구,경기도 안양시 만안구,252953,0.129,안양시만안구
시군,경기도 양주시,199980,0.115,양주시
시군,경기도 양평군,102409,0.081,양평군
시군,경기도 여주군,109447,0.097,여주군
시군,경기도 연천군,45571,0.08,연천군
시군,경기도 오산시,200442,0.155,오산시
구,경기도 용인시 기흥구,379026,0.139,용인시기흥구
구,경기도 용인시 수지구,330453,0.131,용인시수지구
구,경기도 용인시 처인구,210753,0.118,용인시처인구
시군,경기도 의왕시,156881,0.13,의왕시
시군,경기도 의정부시,429720,0.122,의정부시
시군,경기도 이천시,204851,0.126,이천시
시군,경기도 파주시,396208,0.124,파주시
시군,경기도 평택시,435536,0.121,평택시
시군,경기도 포천시,157043,0.096,포천시
시군,경기도 하남시,145756,0.12,하남시
시군,경기도 화성시,526040,0.138,화성시
시군,경기도 가평군,60719,0.08,가평군
구,경기도 고양시 덕양구,397826,0.124,고양시덕양구
